Company Name,Investors,Orbit,Industry,Business Model,Growth Score,Employees added since last funding,Mindshare Score,Momentum Score,Mattermark URL,Website,Description,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Keywords,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Mobile Growth Score,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Months since last funding,New person months since last funding,New funding employee growth
99Taxis,Tiger Global Management|Monashees Capital|Qualcomm Ventures,Safety,mobile|transportation,B2C,893,59,530,276,https://mattermark.com/app/data/187184/,http://99taxis.com,,No,,,,android|location based services (lbs),108,102,6,6,64,44,69,288587,302379,-5,271578,6,,,,,,,14668,,,,,40,45,-11,184,58,217,128848,124796,3,114741,12,21009,18818,12,29139,25728,13,1444,1217,19,507,185,01/01/12,A,28000000,02/02/15,28000000,são paulo,são paulo,,,bra,SA,Yes,9,258,108527.13
Acadia Energy,,Assurance,Renewable Energy,B2C,,,,,,http://www.acaciaenergy.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Microgrid Solutions,ENGIE (formerly GDF SUEZ)|DBL Investors,Assurance,cleantech|energy,B2B,341,4,234,-15,https://mattermark.com/app/data/11015898/,http://advmicrogrid.com,"Advanced Microgrid Solutions (AMS) is pioneering the use of energy storage systems for electric utility grid support. Using a technology-agnostic approach, the company designs, finances, installs and manages advanced energy storage solutions for commercial, industrial and government building owners.",No,,,,clean energy|sustainability,18,15,3,20,,,,136,275,-51,255,-47,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/12,A,18000000,07/13/15,18000000,bay area,san francisco,bay area,CA,usa,NA,No,3,5,3600000
Aero Glass,,Safety,transportation,B2B|B2C,175,3,175,15,https://mattermark.com/app/data/271016/,http://glass.aero,,No,,,,aerospace|augmented reality|defense,5,5,0,0,3,2,67,263,281,-6,208,26,,,,,,,672,,,,,0,0,,16,3,433,3009,3004,0,2975,1,14,14,0,7,62,-89,192,191,1,188,2,01/01/14,Pre Series A,100000,05/01/14,100000,,,,,,,No,18,19,5263.16
AirMap,Lux Capital|The Social+Capital Partnership|Bullpen Capital|TenOneTen Ventures|Legend Capital|Haystack Fund,Safety,network / hosting / infrastructure|transportation,B2B|B2C,117,2,69,47,https://mattermark.com/app/data/10969670/,http://airmap.io,Drone airspace mapping company,No,,,,aerospace|databases,5,4,1,25,,,,1285,1244,3,935,37,,,,,,,7,,,,,,,,,,,74,71,4,62,19,4,4,0,1,1,0,,,,,,01/01/14,Pre Series A,2600000,07/28/15,2600000,los angeles,santa monica,los angeles,CA,usa,NA,No,3,4,650000
Airware,Y Combinator|GE Ventures|Intel Capital|Fresh VC|Andreessen Horowitz|Google Ventures|Kleiner Perkins Caufield & Byers|Andreessen Horowitz|First Round Capital|YC Winter 2013,"Assurance, Safety",drones|enterprise software|hardware|transportation,B2B,404,14,313,37,https://mattermark.com/app/data/118194/,http://airware.com,"Hardware, Software and Cloud Services for Commercial Drones",No,,,,aerospace|development platform|pioneer250,92,94,-2,-2,80,12,15,14445,15089,-4,12447,16,,,,,,,807,,,1,80600,0,0,,0,1,-100,1527,1521,0,1484,3,13,11,18,22,16,38,1622,1592,2,1497,8,01/01/11,Late,35980000,04/17/15,0,bay area,san francisco,bay area,CA,usa,NA,No,6,67,0
Allryder,,Safety,mobile|transportation,B2B|B2C,166,17,166,2,https://mattermark.com/app/data/231490/,http://allryder.com,"Discover all transit options: metro, bahn, tube, bus, tram, bike share, car share and taxi in one simple app. Conquer urban transport in Berlin, Munich, London",No,,,,android|iphone,33,29,4,14,25,8,32,5,19,-74,145,-97,,,,,,,1089,,,,,40,37,8,130,169,-23,5254,5231,0,5221,1,112,72,56,53,89,-40,142,140,1,132,8,01/01/14,Pre Series A,2000000,01/02/14,2000000,berlin,berlin,,,deu,EU,No,22,150,13333.33
Alphabet Energy,Claremont Creek Ventures|TPG Biotech|Claremont Creek Ventures|Claremont Creek Ventures|TPG Biotech|Hercules Technology Growth Capital,Assurance,agriculture|cleantech|energy,B2B,137,19,100,293,https://mattermark.com/app/data/37725/alphabet-energy,http://alphabetenergy.com,Alphabet Energy is a leading innovator in the field of waste heat recovery and manufactures the world's first low cost thermoelectric generator.,No,,,,,40,38,2,5,37,3,8,583,613,-5,467,25,,,,,,,864,,,,,6,5,20,11,15,-27,79,75,5,30,163,13,8,63,6,3,100,1234,1159,6,922,34,01/01/09,B,31000000,03/11/13,16000000,bay area,san francisco,bay area,CA,usa,NA,No,32,254,62992.13
Altaeros Energies,SoftBank Group|MassChallenge 2011,Assurance,agriculture|cleantech|energy,B2B,148,14,112,39,https://mattermark.com/app/data/118583/altaeros-energies,http://altaerosenergies.com,"Altaeros Energies develops airborne wind turbine to produce abundant, low cost, renewable energy.",No,,,,defense,25,25,0,0,20,5,25,2102,2455,-14,2359,-11,,,,,,,511,,,,,2,5,-60,17,86,-80,1896,1888,0,1860,2,17,14,21,6,13,-54,3697,3622,2,3304,12,01/01/10,A,7000000,12/04/14,7000000,boston,boston,boston,MA,usa,NA,No,11,109,64220.18
AMPY,NewGen Venture Partners|Clean Energy Trust|Clean Energy Trust,Assurance,cleantech|energy|fitness and wellness|hardware|internet of things|mobile,B2C,171,0,171,37,https://mattermark.com/app/data/10899238/,http://getampy.com,AMPY is a wearable kinetic energy charger that uses the power you generate by being active to charge your mobile devices such as your smartphone.,No,,,,,7,7,0,0,4,3,75,6286,7487,-16,8221,-24,,,,,,,970,,,,,10,75,-87,175,462,-62,2523,2492,1,2455,3,40,40,0,32,27,19,5,,,,,01/01/14,Pre Series A,950000,10/22/15,875000,chicago,chicago,,IL,usa,NA,No,0,,0
Anagog,Avi Shechter|Dan Vilenski,Safety,mobile|transportation,B2B,137,4,118,0,https://mattermark.com/app/data/303546/,http://anagog.com,A parking solution by monitoring mobile phonesâ€™ sensors.,No,,,,,4,3,1,33,1,3,300,33,72,-54,135,-76,,,,,,,34,,,,,0,0,,0,35,-100,52,50,4,44,18,2,,,2,,,18,16,13,12,50,,Pre Series A,1000000,12/03/14,1000000,ramat gan,ramat gan,,,isr,AS,No,11,17,58823.53
Aquicore,Acceleprise Ventures|Marc Benioff|1776 Investments|Efficient Corporate|Acceleprise DC Cohort 2,Assurance,cleantech|energy|enterprise software|real estate,B2B|SaaS,109,1,109,143,https://mattermark.com/app/data/178992/aquicore,http://aquicore.com,"Aquicore is an energy intelligence solution, combining software and next-generation metering technology to cost-effectively monitor and analyze real-time energy data across commercial real estate properties.",No,,,,sustainability,39,38,1,3,26,13,50,1080,652,66,165,555,,,,,,,494,,,,,4,4,0,25,58,-57,413,411,0,407,1,7,5,40,55,24,129,212,207,2,197,8,01/01/13,Pre Series A,3100000,09/02/15,3100000,washington d.c.,washington d.c.,washington d.c.,DC,usa,NA,No,2,1,3100000
arcadiapower.com,,Assurance,cleantech|energy|human resources hr,B2B|B2C,336,6,294,542,https://mattermark.com/app/data/10383786/,http://arcadiapower.com,Clean energy made simple,No,,,,big data|clean energy,12,11,1,9,6,6,100,17467,17939,-3,14539,20,,,,,,,380,,,,,,,,,,,7359,7128,3,,,262,235,11,,,,37,35,6,29,28,01/01/13,Pre Series A,500000,09/01/14,500000,washington d.c.,washington d.c.,washington d.c.,DC,usa,NA,No,14,25,20000
Architizer,Joanne Wilson|Alessandro Piol|Urban.Us,Assurance,e-commerce|network / hosting / infrastructure,B2B|Marketplace,483,15,427,58,https://mattermark.com/app/data/47581/architizer,http://architizer.com,"Architizer connects architects to a vibrant network of peers, fans, and potential clients.",No,,,,architecture|construction|design,58,54,4,7,44,14,32,667224,669231,0,661182,1,,12,,24,,0,168381,,,,,720,563,28,2407,3357,-28,1555820,1552946,0,1541102,1,22043,21537,2,21760,21981,-1,4306,4236,2,4029,7,01/01/09,Pre Series A,3508711,09/26/14,1508711,new york,new york,new york,NY,usa,NA,Yes,13,51,29582.57
Astro,Techstars|Lerer Hippeau Ventures|Crosslink Capital|Winklevoss Capital|Zelkova Ventures|Maiden Lane Ventures|Rugged Ventures|R/GA 2015,Safety,hardware|internet of things,B2C,437,-1,447,787,https://mattermark.com/app/data/291067/,http://hellotwist.com,Astro makes the connected home easier and more accessible than ever before through their product Twist,No,,,,consumer electronics|internet of things|wireless,4,4,0,0,3,1,33,34407,29933,15,17086,101,,,,,,,660,,,,,5,3,67,11,35,-69,10680,9825,9,7546,42,928,928,0,572,521,10,42,40,5,36,17,01/01/14,Pre Series A,3000000,06/24/15,3000000,new york,new york,new york,NY,usa,NA,No,4,1,3000000
August,Founders Den|CAA Ventures|Fuseproject|Bessemer Venture Partners|Comcast Ventures|Qualcomm Ventures|Cowboy Ventures|Industry Ventures|Rho Ventures|SoftTech VC|Philip Kaplan|Matt Mullenweg|Jay Adelson|Zack Bogue|Matt Ocko|Rick Marini|Mike Marquez|David Spector|Nicholas Negroponte|Tony Conrad|SoftTech VC|Cowboy Ventures|Center Electric|Dolby Family Ventures|QueensBridge Venture Partners|CAA Ventures|Quotidian Ventures|Maveron|SoftTech VC|Rho Ventures|Industry Ventures|Cowboy Ventures,Safety,consumer electronics|hardware|internet of things|physical security|security,B2C,767,45,502,49,https://mattermark.com/app/data/151840/august,http://august.com,"August is the maker of the August Smart Lock, the safe, simple, and social way for people to share access to their home",No,,,,consumer electronics|internet of things|pioneer250,72,66,6,9,39,33,85,223762,223907,0,214120,5,,1136,,1136,,0,6578,,,,,95,126,-25,647,558,16,10296,10246,0,10049,2,71,105,-32,56,303,-82,550,537,2,497,11,01/01/12,B,48000000,03/25/15,38000000,bay area,san francisco,bay area,CA,usa,NA,Yes,7,179,212290.5
Aunt Bertha Software,Code for America Accelerator,Safety,enterprise software|government,B2B|SaaS,73,,55,5,https://mattermark.com/app/data/136886/aunt-bertha-software,http://auntbertha.com,Aunt Bertha enables individuals to find and apply for government and charitable social service programs.,No,,,,,14,13,1,8,10,4,40,573,635,-10,881,-35,,,,,,,2093,,,,,5,1,400,15,240,-94,1234,1230,0,1226,1,9,6,50,4,2,100,100,99,1,95,5,01/01/10,Pre Series A,0,,,austin,austin,austin,TX,usa,NA,No,,,
Autogrid,Voyager Capital|Foundation Capital|Voyager Capital|Foundation Capital|Stanford University,Assurance,analytics|cleantech|energy|internet of things,B2B,146,12,116,0,https://mattermark.com/app/data/102225/,http://auto-grid.com,AutoGrid Systems organizes energy data and employs big data analytics to generate real-time predictions that create actionable data.,No,,,,internet of things|smart grid,43,46,-3,-7,44,-1,-2,428,471,-9,484,-12,,,,,,,462,,,,,0,3,-100,7,9,-22,366,364,1,363,1,1,1,0,2,1,100,695,690,1,673,3,01/01/11,C,21750000,01/27/14,12750000,bay area,redwood shores,bay area,CA,usa,NA,No,21,203,62807.88
Automatic,,Safety,Mobility|Connected Car|IOT,B2C,,,,,,http://automatic.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automatic Labs,Amicus Capital|Y Combinator|RPM Ventures|Lumia Capital|USAA|Comcast Ventures|Y Combinator|RPM Ventures|Anthemis|Amicus Capital|Mark Goines|Jared Kopf|Dan Rose|YC Summer 2011,Safety,automotive|hardware|mobile,B2B|B2C,433,6,355,2,https://mattermark.com/app/data/123028/automatic,http://automatic.com,"The Automatic app and plug-in car adapter turns just about any car into a connected car. Diagnose check engine codes, get driving feedback, mileage tracking and expensing, emergency service in a crash, and more. Explore the Automatic App Gallery to find an app for any driver.",No,,,,big data|pioneer250,69,69,0,0,56,13,23,368066,369431,0,440030,-16,,113,,678,,0,8246,,,,,95,72,32,443,85,421,29138,29123,0,29114,0,47,64,-27,40,93,-57,1343,1333,1,1301,3,01/01/11,B,24000000,06/25/15,24000000,bay area,san francisco,bay area,CA,usa,NA,Yes,4,16,1500000
Azure Power,Foundation Capital|Helion Venture Partners,Assurance,cleantech|energy|solar power,B2B,203,67,76,0,https://mattermark.com/app/data/18557/,http://azurepower.com,"Azure Power produces and distributes solar power to commercial, government and utility customers in India.",No,,,,,138,130,8,6,106,32,30,2271,2595,-12,2670,-15,,,,,,,90,,,,,1,0,,2,5,-60,35,35,0,35,0,,,,,,,1998,1980,1,1923,4,01/01/08,A,13600000,11/22/11,13600000,new delhi,new delhi,,,ind,AS,No,47,654,20795.11
Bandwagon,,Safety,e-commerce|mobile|transportation|travel,B2C,118,-2,118,5,https://mattermark.com/app/data/161863/,http://bandwagon.io,Share cabs from your phone with Bandwagon,No,,,,android|collaborative consumption,13,13,0,0,15,-2,-13,183,163,12,161,14,,538,,538,,0,,,,,,0,0,,0,0,,724,723,0,723,0,2,3,-33,1,8,-88,130,129,1,123,6,01/01/09,Pre Series A,725000,11/10/14,425000,new york,new york,new york,NY,usa,NA,Yes,12,16,26562.5
BBOXX,Bamboo Finance|Stichting DOEN|Khosla Ventures,Assurance,energy|enterprise software,B2B|B2C,169,28,-4,10,https://mattermark.com/app/data/215780/,http://bboxx.co.uk,"BBOXX designs, manufactures, and distributes plug and play solar systems.",No,,,,,92,83,9,11,66,26,39,2312,2928,-21,3855,-40,,,,,,,0,,,,,0,0,,0,9,-100,2757,2754,0,2727,1,25,24,4,10,67,-85,503,490,3,461,9,01/01/10,B,4900000,03/13/15,3000000,london,london,london,,gbr,EU,No,7,83,36144.58
Bidgely,Constellation Technology Ventures|Khosla Ventures|Khosla Ventures|Khosla Ventures,Assurance,analytics|energy|internet of things,B2B|B2C,314,0,255,-5,https://mattermark.com/app/data/102192/,http://bidgely.com,Bidgely is a disruptive technology company developing an energy monitoring and management solution for eco-friendly energy saving.,No,,,,clean energy|sustainability,45,43,2,5,30,15,50,40686,45154,-10,68101,-40,,,,,,,576,,,,,1,1,0,7,31,-77,807,774,4,772,5,4,,,3,4,-25,3447,3421,1,3244,6,01/01/10,B,24600000,11/02/15,16600000,bay area,sunnyvale,bay area,CA,usa,NA,No,0,,0
Bikespike,,Safety,Cycling|Security|IOT,B2C|B2B,,,,,,Http://bikespike.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdi,,Core,hospitality|internet of things,B2B|B2C,66,1,66,6,https://mattermark.com/app/data/217123/,http://birdi.io,"Better than a smoke detector. Tracks air quality, everyday health hazards like pollution, humidity or emergencies like fire & carbon monoxide to help you stay connected & protected in your home.",No,,,,big data|health & wellness|internet of things,3,3,0,0,2,1,50,11,8,38,6,83,,,,,,,1589,,,,,7,7,0,26,28,-7,,,,,,,,,,,,91,90,1,87,5,01/01/13,Pre Series A,700000,07/28/14,700000,new york,brooklyn,new york,NY,usa,NA,No,15,5,140000
Bitlock,,Safety,hardware|transportation,B2C,56,,56,-349,https://mattermark.com/app/data/255472/,http://bitlock.co,Lock and unlock your bike seamlessly at press of a button with Bitlock. Bitlocls lets you share the location and access of your bike with your loved ones,No,,,,collaborative consumption,6,6,0,0,7,-1,-14,1948,1961,-1,1846,6,,,,,,,664,,,,,,,,,,,928,927,0,916,1,6,12,-50,8,6,33,24,23,4,21,14,01/01/13,No Known Funding,,,,bay area,san francisco,bay area,CA,usa,NA,No,,,
BlocPower,,Assurance,,,-25,,-25,30,https://mattermark.com/app/data/10955060/,http://blocpower.org,"BlocPower Creates Jobs, CO2 Reductions, Energy Bill Savings, and Financial Returns in American Inner Cities.",No,,,,,,,,,,,,39,54,-28,68,-43,,,,,,,,,,,,,,,,,,182,179,2,160,14,2,1,100,1,1,0,,,,,,,Pre Series A,0,,,,,,,,,No,,,
Blue Pillar,Allos Ventures|EnerTech Capital|Maryland Venture Fund|Allos Ventures|Arsenal Venture Partners|Claremont Creek Ventures|Claremont Creek Ventures|Arsenal Venture Partners|Allos Ventures,Assurance,energy|internet of things,B2B,194,21,47,0,https://mattermark.com/app/data/87143/blue-pillar,http://bluepillar.com,Blue pillar is a leading provider of power and energy management solutions specifically for critical and complex facilities.,No,,,,,61,56,5,9,43,18,42,147,212,-31,325,-55,,,,,,,180,,,,,,,,,,,77,76,1,76,1,10,9,11,10,7,43,260,256,2,239,9,01/01/06,C,21000000,03/16/15,14000000,indianapolis,indianapolis,indianapolis,IN,usa,NA,No,7,68,205882.35
BlueLight,,Safety,education|mobile|public safety|security,B2B|B2C|SaaS,16,,16,-171,https://mattermark.com/app/data/246909/,http://getbluelight.com,Safety toolkit for the digital age.,No,,,,college students|location based services (lbs)|public safety,,,,,,,,31,21,48,17,82,,127,,403,,0,,,,,,,,,,,,176,174,1,172,2,2,3,-33,6,6,0,,,,,,,No Known Funding,,,,,,,,,,Yes,,,
BlueLine Grid,,Safety,Public Safety,B2G,,,,,,http://www.bluelinegrid.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrego Solar Systems,,Assurance,cleantech|energy|solar power,B2B,168,62,49,64,https://mattermark.com/app/data/15931/borrego-solar-systems,http://borregosolar.com,"Borrego Solar Systems, Inc. is a solar photovoltaic energy financing and contracting company specializing in commercial and governmental grid-connected turnkey electric systems.",No,,,,,165,165,0,0,143,22,15,2451,2211,11,1836,33,,,,,,,415,,,,,0,0,,37,54,-31,598,591,1,568,5,22,16,38,21,21,0,3570,3537,1,3433,4,01/01/80,A,44000000,08/03/09,30000000,san diego,san diego,san diego,CA,usa,NA,No,75,627,47846.89
BRCK,Invested Development,Assurance,communications equipment|hardware|internet of things|telecommunications,B2C|B2B,357,15,233,44,https://mattermark.com/app/data/208672/brck,http://brck.com,The Rugged Wi-Fi Hotspot (that works in Africa),Yes,600000,,75000,consumer electronics,21,19,2,11,,,,8221,8625,-5,7387,11,,,,,,,3848,,,,,52,36,44,179,433,-59,1149,1142,1,1101,4,14,14,0,19,50,-62,62,60,3,55,13,01/01/13,Pre Series A,1200000,07/08/14,1200000,nairobi,nairobi,,,ken,AF,No,16,58,20689.66
Breather,Structure Capital|Valar Ventures|Real Ventures|RRE Ventures|Vayner RSE (RSE Ventures)|Real Ventures|SOSventures|Real Ventures|Jay Baer|Steve Garfield|John Stokes|Loic Le Meur|Gary Vaynerchuk|Dave McClure|Lisa Gansky|Mike Walsh|Zachary Aarons,Safety,hospitality|mobile|real estate,B2C,914,14,628,87,https://mattermark.com/app/data/145731/breather,http://breather.com,Breather is a network of beautiful city spaces that you can unlock at any time.,No,,,,collaborative consumption,58,53,5,9,37,21,57,227925,228433,0,233827,-3,,,,12256,,0,9922,,,,,82,141,-42,415,530,-22,14560,14420,1,14062,4,136,131,4,133,243,-45,966,949,2,905,7,01/01/12,A,27500000,09/17/15,20000000,montreal,montreal,,QC,can,NA,Yes,1,14,1428571.43
Bridj,Atlas Venture|Jill Preotle|NextView Ventures|FreshTracks Capital|Suffolk Equity Partners,Safety,transportation,B2C|B2B,26,2,11,-407,https://mattermark.com/app/data/10007639/,http://bridj.com,"Bridj is the world's first pop-up mass transit system. Using millions of data points, we figure out how the city moves, then deploy dynamic transportation networks to help you get where you need to go.",No,,,,collisionconf2015,23,22,1,5,22,1,5,2208,2475,-11,3256,-32,,91,,91,,0,3456,,,,,,,,,,,,,,,,,,,,,,259,255,2,245,6,,A,4000000,01/14/15,0,boston,cambridge,boston,MA,usa,NA,Yes,9,7,0
Bright,Max Levchin|Patrick Collison|First Round Capital|Felicis Ventures,Assurance,cleantech|energy,B2C,577,6,416,24,https://mattermark.com/app/data/10976215/,http://thinkbright.mx,"Bright's aim is to install solar panels on Mexican roofs under a subscription program, where homeowners get panels for free but pay for use.",No,,,,,16,12,4,33,,,,4297,3848,12,2428,77,,,,,,,232,,,,,,,,,,,3392,3372,1,2624,29,1121,1165,-4,1530,1468,4,,,,,,01/01/14,Pre Series A,4000000,08/04/15,4000000,mexico city,mexico city,,,mex,NA,No,3,10,400000
Bright Farms,,Core,Food,B2B,,,,,,http://www.brightfarms.com/s/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightFarms,Indiegogo|WP Global Partners|NGEN Partners|Emil Capital Partners|Ted Caplow|NGEN Partners|Emil Capital Partners|WP Global Partners|NGEN Partners|Emil Capital Partners|Ted Caplow|Ted Caplow|Emil Capital Partners|NGEN Partners,Core,agriculture|e-commerce,,60,0,55,0,https://mattermark.com/app/data/78457/,http://brightfarms.com,"We finance, design, build and operate greenhouse farms at or near supermarkets. Our quest is to bring commercial scale urban agriculture to the market, take our farms and the industry to the next level, and change the way we eat as a society.",No,,,,,13,12,1,8,13,0,0,304,290,5,287,6,,,,,,,4284,,,,,12,7,71,48,48,0,20339,20322,0,20150,1,148,155,-5,674,724,-7,424,408,4,397,7,,B,25250000,11/06/15,13650000,new york,new york,new york,NY,usa,NA,No,0,,0
Building Robotics,Navitas Capital|Claremont Creek Ventures|Formation 8|Google Ventures|Red Swan Ventures|Navitas Capital|Dave Eisenberg|Jeff Hammerbacher|Travis Putnam|Claremont Creek Ventures|The Westly Group,Assurance,cleantech|enterprise software|internet of things|mobile,B2B,196,10,158,13,https://mattermark.com/app/data/214001/building-robotics,http://buildingrobotics.com,Building Robotics is a software company providing office workers a method of controlling the temperature at their office work stations.,No,,,,big data|internet of things|sustainability,21,21,0,0,15,6,40,304,428,-29,413,-26,,,,,,,841,,,,,0,1,-100,9,22,-59,362,356,2,352,3,3,4,-25,17,14,21,173,170,2,159,9,01/01/12,A,6640000,10/03/14,5500000,bay area,oakland,bay area,CA,usa,NA,No,13,60,91666.67
"Buzzcar, Inc.",,Safety,Mobility,B2C,,,,,,http://www.buzzcar.com/en/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buzzcar.com,,Safety,consumer services,,-222,,-222,0,https://mattermark.com/app/data/10827500/,http://buzzcar.com,"Peer-to-peer car rental with insurance. More than 75000 members and 7800 cars to rent your car or rent a car at low price, anywhere in France.",No,,,,,4,,,,,,,7,12,-42,17,-59,,,,,,,1617,,,,,,,,,,,,,,,,,,,,,,132,131,1,128,3,01/01/11,Exited (acquired),,,,,,,,,,No,,,
C3 Energy,InterWest Partners,Assurance,analytics|energy|internet of things,B2B|SaaS,377,69,215,366,https://mattermark.com/app/data/30025/c3,http://c3energy.com,,No,,,,,127,129,-2,-2,125,2,2,3050,3281,-7,3353,-9,,,,,,,700,,,,,5,5,0,42,8,425,233,232,0,227,3,2,,,1,,,2513,2498,1,2418,4,01/01/09,C,15000000,05/29/13,15000000,bay area,redwood city,bay area,CA,usa,NA,No,29,1184,12668.92
ca biotics,,Assurance,Connectivity,B2B,,,,,,Http://ca-botics.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caarbon,Maveron|Tandem Capital|Expansion Venture Capital,Safety,automotive|e-commerce|mobile|transportation,B2C,47,,47,-168,https://mattermark.com/app/data/308832/,http://caarbon.com,Caarbon is building a smartphone app for on-demand valet parking.,No,,,,collaborative consumption|logistics,11,11,0,0,,,,166,165,1,92,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,6,,,01/01/14,Pre Series A,0,,,,,,,,,No,,,
Cabify,Rakuten|Seaya Ventures|Seaya Ventures|Emerge,Safety,transportation,B2C,174,-1,174,642,https://mattermark.com/app/data/98364/,http://cabify.com,"Available in Madrid, Barcelona, Bilbao, Malaga, Coruna, Santiago, Lima and Mexico City. Let Cabify manage your airport transfers or any other journeys. Our quality standard is way above what you would expect from a taxi. Download our smartphone App or order via this website.",No,,,,location based services (lbs),10,10,0,0,5,5,100,48828,42293,15,35441,38,,,,,,,172,,,,,72,157,-54,419,571,-27,133900,132159,1,5580,2300,427,899,-53,783,610,28,46,46,0,42,10,01/01/11,B,24000000,10/12/15,12000000,madrid,madrid,,,esp,EU,No,0,0,0
CalStar Products,Foundation Capital|EnerTech Capital|EnerTech Capital|Foundation Capital|Nth Power|The Westly Group,Assurance,cleantech|energy,B2B,102,4,95,-1,https://mattermark.com/app/data/23206/,http://calstarproducts.com,"The beauty and performance of traditional masonry, with a dramatically reduced environmental footprint and lower cost.",No,,,,architecture,32,31,1,3,33,-1,-3,217,276,-21,782,-72,,,,,,,471,,,,,0,0,,0,5,-100,4559,4565,0,4568,0,6,6,0,5,9,-44,276,273,1,266,4,,A,23040000,02/26/10,15000000,new york,newark,new york,NJ,usa,NA,No,68,112,133928.57
Canary,Indiegogo|Cota Capital|Walden Riverwood Ventures|Two Sigma Ventures|Flextronics|Khosla Ventures|Western Technology Investment|Khosla Ventures|Bobby Yazdani|Two Sigma Ventures|Two Sigma Ventures|Brooklyn Bridge Ventures|Brooklyn Bridge Ventures,Safety,internet of things|mobile|physical security|security,B2C,769,17,581,36,https://mattermark.com/app/data/160794/canary,http://canary.is,Smart Home Security for Everyone,No,,,,android|cloud computing|collisionconf2015|internet of things|pioneer250,87,83,4,5,63,24,38,302491,298459,1,284892,6,,,,,,,6858,,,,,101,142,-29,306,193,59,18968,18934,0,18449,3,161,141,14,551,318,73,609,595,2,536,14,01/01/12,B,41200000,06/01/15,30000000,new york,new york,new york,NY,usa,NA,No,5,55,545454.55
Carrot.mx,ALL VP|Venture Institute,Assurance,cleantech,B2C,6,,6,37,https://mattermark.com/app/data/101942/carrot-mx,http://carrot.mx,Mexico's First Car Sharing Company,No,,,,sustainability,11,11,0,0,11,0,0,34700,40989,-15,54002,-36,,,,,,,9040,,,,,32,73,-56,196,229,-14,127897,127736,0,126248,1,590,740,-20,634,505,26,106,99,7,78,36,01/01/12,Pre Series A,0,,,mexico city,mexico city,,,mex,NA,No,,,
Carvoyant,SK Ventures,Safety,automotive|e-commerce|internet of things|mobile,B2B|B2C,48,,46,7,https://mattermark.com/app/data/75620/,http://carvoyant.com,The Cloud for Your Car,No,,,,big data|cloud computing|consumer goods|internet of things|location based services (lbs)|paas,5,5,0,0,5,0,0,513,481,7,372,38,,,,,,,357,,,,,0,0,,4,7,-43,266,265,0,265,0,1,1,0,1,1,0,59,58,2,57,4,01/01/11,Pre Series A,0,,,tampa,tampa,tampa,FL,usa,NA,No,,,
Chai Energy,,Safety,energy|internet of things,B2C,0,,0,0,https://mattermark.com/app/data/155510/chai-energy,http://mychai.co,Chai will tell you exactly how and where you're spending your hard-earned energy dollars in your home. Sign up today!,No,,,,,,,,,,,,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,,,
